Year,Data,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
2047,CNRM_RCP45,Regional,51,-116,1500,-1.7,7.7,20.7,8.8,-9,-3.7,6.3,-0.8,-5.3,2,13.5,4,280,184,301,258,1.9,14.6,20.1,-9999,552,135,0,128,14,100,789,218,2102,1473,426,1272,0,1,21,4,4,19,87,40,226,97,4,84,0,131,336,90,0,25,60,19,70,60,56,67
2048,CNRM_RCP45,Regional,51,-116,1500,-3.7,9.6,20.8,8.8,-10.9,-2,6.2,-1.4,-7.3,3.8,13.5,3.7,223,126,222,124,2.3,14.7,20.5,6.2,711,104,0,153,10,177,776,207,2283,1314,427,1305,0,3,16,3,2,32,89,39,189,42,2,25,0,145,340,88,0,59,118,4,70,60,56,65
2049,CNRM_RCP45,Regional,51,-116,1500,-2.6,10.2,20,9,-9.9,-2,6.6,-1.3,-6.2,4.1,13.3,3.9,211,158,298,135,2.4,14.9,19.5,6.5,610,84,0,143,10,176,762,220,2177,1285,442,1288,0,3,15,4,3,32,89,38,178,28,3,54,0,143,319,92,0,29,56,34,69,58,59,65
2050,CNRM_RCP45,Regional,51,-116,1500,-3.6,9.1,23.3,9.6,-10.9,-3.6,8,-0.8,-7.2,2.8,15.7,4.4,269,113,220,168,2.1,14.9,20.9,6.3,691,157,0,145,7,160,982,264,2269,1405,262,1240,0,3,45,6,2,25,91,41,233,38,1,66,0,151,368,96,0,65,148,28,69,56,55,65
2051,CNRM_RCP45,Regional,51,-116,1500,-2.3,9.6,22.5,7.1,-9.3,-1.6,7.9,-2.4,-5.8,4,15.2,2.4,304,142,187,170,1.4,14.4,20.7,5.5,617,108,0,192,21,193,937,173,2152,1291,293,1427,0,4,36,3,7,37,91,33,216,36,1,54,0,143,357,80,0,35,170,0,71,61,56,66
2052,CNRM_RCP45,Regional,51,-116,1500,-0.4,7.7,23.7,8.5,-7.7,-3.5,8,-1,-4.1,2.1,15.8,3.8,234,192,193,259,2.3,14.2,21.5,-9999,459,171,0,149,19,128,1000,227,1988,1466,257,1298,0,2,63,4,5,26,91,40,164,88,1,103,0,136,375,89,0,12,182,19,70,60,54,67
2053,CNRM_RCP45,Regional,51,-116,1500,-6.1,12.2,24.1,8.4,-13.8,0.7,8.4,-2.7,-10,6.4,16.3,2.9,237,173,181,128,2,14.4,21.4,6.8,941,42,0,185,6,292,1040,219,2521,1061,218,1383,0,6,61,5,1,49,91,30,220,15,0,64,0,190,381,93,0,32,200,45,67,62,54,61
2054,CNRM_RCP45,Regional,51,-116,1500,-3.8,8.8,20.4,7.6,-11.6,-3.1,6,-1.9,-7.7,2.8,13.2,2.9,300,162,208,158,-9999,14.9,20.6,5.6,735,162,0,146,7,152,759,142,2309,1402,449,1378,0,3,15,1,2,30,88,34,252,53,3,47,0,142,334,79,0,21,127,0,67,58,56,67
2055,CNRM_RCP45,Regional,51,-116,1500,-4,6.7,22.1,9.1,-11.8,-4.3,8.1,-0.6,-7.9,1.2,15.1,4.2,198,166,219,171,2.8,14.4,20.1,5.7,758,164,0,105,8,72,933,206,2334,1551,302,1254,0,1,49,3,2,15,90,41,182,94,1,46,0,124,348,88,0,27,130,14,67,60,58,67
2056,CNRM_RCP45,Regional,51,-116,1500,-3.7,9.6,20.6,7.7,-11.8,-1.7,6.6,-2,-7.7,4,13.6,2.9,270,200,273,142,-9999,14.3,20.1,5.7,739,103,0,198,7,192,796,188,2318,1294,418,1378,0,4,22,3,1,36,88,38,248,40,3,56,0,139,332,86,0,4,81,7,66,61,58,66
2057,CNRM_RCP45,Regional,51,-116,1500,-3.7,7.9,21.6,6.6,-11.4,-3,7.2,-2.7,-7.6,2.4,14.4,1.9,189,183,277,221,2.6,14.3,20.3,5.2,721,158,0,236,7,127,872,195,2299,1437,359,1466,0,2,33,4,2,29,88,33,172,53,2,108,0,131,345,81,0,3,68,0,68,61,57,66
2058,CNRM_RCP45,Regional,51,-116,1500,-3.4,11.3,22.1,7.2,-11.4,-1.4,7.7,-2.3,-7.4,4.9,14.9,2.5,164,157,268,201,3.5,15,20.1,5.5,722,84,0,198,10,239,913,176,2286,1206,311,1415,0,5,32,3,3,37,90,35,134,38,1,64,0,159,351,82,0,48,84,2,66,57,57,67
2059,CNRM_RCP45,Regional,51,-116,1500,-3.7,9,21.6,9.1,-10.9,-2.3,6.7,-0.4,-7.3,3.4,14.2,4.4,247,145,235,227,2.1,14.5,20.7,5.6,683,106,0,82,8,159,843,185,2265,1350,377,1242,0,3,25,2,3,29,89,41,215,60,2,47,0,140,350,84,0,65,115,0,70,61,55,67
2060,CNRM_RCP45,Regional,51,-116,1500,-4.2,10.9,22.2,7.9,-11.1,-1.1,7.2,-1.7,-7.6,4.9,14.7,3.1,265,139,200,221,2.3,14.8,20.7,5.1,715,87,0,179,6,243,892,208,2296,1204,331,1358,0,5,28,4,2,39,90,37,237,30,1,88,0,155,356,87,0,48,156,19,70,60,55,67
2061,CNRM_RCP45,Regional,51,-116,1500,-4.8,10.3,22.2,8.1,-12.9,-2,7.7,-0.8,-8.8,4.2,15,3.7,296,146,238,214,2.8,15.3,20.4,-9999,884,86,0,156,17,198,912,221,2428,1273,312,1305,0,4,35,4,4,32,91,42,235,40,1,79,0,182,354,85,0,46,116,12,66,58,56,69
2062,CNRM_RCP45,Regional,51,-116,1500,-1.5,9.1,20.7,7.3,-9.2,-3,5.8,-1.9,-5.4,3.1,13.2,2.7,160,194,228,274,3.1,14.9,20.6,5,559,146,0,214,15,168,763,232,2105,1379,448,1396,0,3,16,6,4,30,87,35,125,41,3,101,0,144,339,87,0,0,112,0,68,58,55,68
2063,CNRM_RCP45,Regional,51,-116,1500,-2.8,10.9,22.5,8.5,-10.4,-1.5,7.7,-2.5,-6.6,4.7,15.1,3,203,170,266,131,2.7,14.8,20.5,6.8,638,97,0,220,9,242,935,241,2206,1223,297,1366,0,6,39,5,3,38,90,36,174,25,1,60,0,154,357,96,0,16,91,48,68,58,56,62
2064,CNRM_RCP45,Regional,51,-116,1500,-1.3,10.2,22.8,8.2,-8.7,-2,8.6,-1.8,-5,4.1,15.7,3.2,249,171,246,124,1.9,14.5,20.1,6.8,541,155,0,180,22,245,986,189,2077,1279,258,1345,0,6,46,2,6,39,91,40,171,45,1,33,0,155,358,85,0,34,112,6,70,58,57,65
2065,CNRM_RCP45,Regional,51,-116,1500,-2.3,8.1,21.3,8.4,-10,-2.6,6.8,-1.4,-6.2,2.7,14,3.5,306,213,196,221,-9999,13.8,20.6,5.7,607,132,0,194,9,129,835,227,2169,1408,380,1318,0,2,25,3,3,30,88,44,255,57,2,60,0,130,344,89,0,0,148,15,68,62,56,66
2066,CNRM_RCP45,Regional,51,-116,1500,-2.4,9.9,22.6,10.3,-9.8,-2.8,7.5,-0.3,-6.1,3.6,15,5,294,107,189,132,-9999,15.3,20.9,6.5,604,116,0,154,10,172,922,309,2166,1331,304,1189,0,3,34,8,3,28,90,47,248,35,1,19,0,154,361,98,0,79,172,0,69,57,55,64
2067,CNRM_RCP45,Regional,51,-116,1500,-1.9,9.8,21.9,8.9,-9.3,-2.5,7.4,-0.5,-5.6,3.6,14.7,4.2,236,149,255,238,-9999,14.7,20.4,5.5,565,132,0,137,11,203,887,239,2121,1324,332,1256,0,4,29,4,3,33,90,44,189,50,1,36,0,150,349,87,0,42,94,0,69,58,56,68
2068,CNRM_RCP45,Regional,51,-116,1500,-6,8.3,22,9.8,-14.2,-2.6,7.5,-0.8,-10.1,2.8,14.8,4.5,225,132,283,174,2.6,14.8,20.6,6,927,104,0,117,3,124,900,269,2527,1396,342,1241,0,2,50,9,1,26,90,38,218,58,2,63,0,130,349,98,0,40,141,46,65,62,57,64
2069,CNRM_RCP45,Regional,51,-116,1500,-2.6,11.7,23.5,10.7,-9.9,-1.4,8.3,0.9,-6.3,5.2,15.9,5.8,241,99,245,180,2.1,15.4,20.8,6.1,632,87,0,84,14,268,1005,309,2187,1185,245,1119,0,7,52,9,4,37,91,50,194,22,1,25,0,168,371,96,0,95,126,29,70,56,55,67
2070,CNRM_RCP45,Regional,51,-116,1500,-2.9,9.9,22.6,7.6,-10.5,-3,7,-2.3,-6.7,3.5,14.8,2.7,275,115,170,170,1.8,15.2,21.2,6.1,661,111,0,178,10,159,908,170,2226,1342,322,1398,0,3,35,2,3,27,89,33,231,30,1,59,0,148,363,84,0,51,193,0,68,56,54,65
2071,CNRM_RCP45,Regional,51,-116,1500,-3.3,9.5,24.1,7.1,-12.4,-2.2,8.8,-2.1,-7.9,3.7,16.5,2.5,179,169,180,293,3.8,14.6,21,-9999,761,155,0,221,10,215,1060,224,2335,1322,215,1418,0,4,79,6,1,38,91,34,166,46,0,159,0,147,378,85,0,26,198,10,62,59,55,67
2072,CNRM_RCP45,Regional,51,-116,1500,-3,11.3,23.2,8.8,-10.5,-1,8.4,-0.2,-6.8,5.2,15.8,4.3,488,126,220,192,-9999,15.2,20.7,5.3,666,70,0,114,11,245,993,211,2230,1177,255,1244,0,5,50,3,2,37,91,45,398,31,1,60,0,192,365,85,0,85,145,0,69,59,56,69
2073,CNRM_RCP45,Regional,51,-116,1500,-2,8.8,22.4,8.7,-9.6,-3,7.5,-0.6,-5.8,2.9,14.9,4,288,173,200,220,-9999,15,21,5.5,581,156,0,106,11,159,917,190,2137,1397,311,1271,0,3,36,2,3,30,90,42,238,45,1,47,0,141,357,83,0,0,157,0,68,59,55,68
2074,CNRM_RCP45,Regional,51,-116,1500,-3.1,7,23.9,10.1,-11,-4.7,7.9,0.2,-7,1.1,15.9,5.1,267,148,170,150,2.3,14.6,21.4,5.9,696,244,0,112,12,123,1008,277,2261,1554,249,1170,0,2,63,5,3,24,90,48,227,73,1,35,0,136,380,96,0,33,210,11,67,58,53,67
2075,CNRM_RCP45,Regional,51,-116,1500,-2.8,10.3,23.5,9.6,-10.9,-1.1,8.7,-0.4,-6.8,4.6,16.1,4.6,216,205,231,188,3.1,14.2,20.5,5.7,677,72,0,138,12,199,1022,299,2242,1239,235,1231,0,4,60,12,3,37,91,41,184,39,1,74,0,178,369,97,0,48,138,43,66,62,56,66
2076,CNRM_RCP45,Regional,51,-116,1500,-1.5,8.4,24.7,10.7,-8.4,-3.8,8.8,0.4,-4.9,2.3,16.8,5.6,342,143,244,110,-9999,15.1,21.3,7,531,163,0,126,19,135,1087,335,2068,1449,225,1143,0,2,118,12,6,22,90,49,262,75,1,15,0,145,391,101,0,59,148,35,72,57,54,65
2077,CNRM_RCP45,Regional,51,-116,1500,-1.7,10.1,20.2,8.4,-9,-1.5,6.6,-1.8,-5.4,4.3,13.4,3.3,207,152,315,163,2.2,14.6,19.6,6.2,555,84,0,194,14,193,778,239,2105,1263,425,1338,0,4,15,5,4,35,89,37,162,38,3,54,0,149,325,90,0,49,54,2,70,61,58,64
2078,CNRM_RCP45,Regional,51,-116,1500,-4,9.7,21.2,7.9,-11.1,-2.4,6.8,-0.9,-7.5,3.7,14,3.5,313,150,239,208,-9999,14.9,20.7,5.2,718,85,0,152,7,145,835,192,2293,1324,383,1323,0,2,28,3,2,29,88,42,276,35,2,57,0,138,340,81,0,23,101,0,70,59,56,69
2079,CNRM_RCP45,Regional,51,-116,1500,-0.8,10.4,23.1,9.7,-8.6,-1.8,7.9,-0.3,-4.7,4.3,15.5,4.7,219,125,182,144,2.9,15,21.2,5.7,497,108,0,87,16,233,962,241,2041,1259,273,1210,0,6,42,5,4,35,91,41,155,40,1,34,0,157,367,92,0,75,185,36,68,58,55,66
2080,CNRM_RCP45,Regional,51,-116,1500,-2,7.9,21.2,7.8,-9.2,-2.8,7,-2.2,-5.6,2.6,14.1,2.8,218,204,277,180,1.8,14.1,20.4,6,585,117,0,204,17,110,844,189,2131,1422,380,1384,0,2,27,2,4,25,89,38,160,83,2,49,0,129,340,86,0,11,63,0,71,62,57,65
2081,CNRM_RCP45,Regional,51,-116,1500,-2.8,11.6,22.4,8.4,-10.8,-0.1,8,-0.5,-6.8,5.8,15.2,3.9,267,127,262,216,2.9,14.6,20.5,5.1,659,67,0,137,9,292,939,231,2230,1136,294,1279,0,9,36,5,2,44,91,42,235,19,1,66,0,188,353,85,0,62,116,0,66,61,57,69
2082,CNRM_RCP45,Regional,51,-116,1500,-2.9,9.4,20.6,10.2,-10.8,-1.5,7.1,0.3,-6.8,3.9,13.8,5.3,355,171,294,154,2.1,14.6,19.4,5.9,684,84,0,110,13,166,813,287,2241,1296,400,1162,0,3,21,6,3,34,89,49,302,58,2,35,0,141,328,93,0,41,43,19,67,63,59,67
2083,CNRM_RCP45,Regional,51,-116,1500,-4.1,8.8,21.8,8.1,-11.2,-2.6,6.8,-1.7,-7.6,3.1,14.3,3.2,339,188,211,175,1.5,14.6,20.8,5.7,717,140,0,131,6,165,854,150,2298,1376,356,1346,0,3,25,2,2,31,89,34,304,49,1,57,0,139,350,82,0,0,139,9,70,60,55,66
2084,CNRM_RCP45,Regional,51,-116,1500,-3,9,19.6,6.9,-10.4,-2.2,7.2,-2.4,-6.7,3.4,13.4,2.3,273,174,323,163,2,14.4,18.8,5.5,654,135,0,192,11,173,775,157,2226,1350,438,1435,0,3,19,2,3,36,89,33,237,43,4,55,0,138,311,79,0,1,28,0,69,61,62,67
2085,CNRM_RCP45,Regional,51,-116,1500,-1.8,8.5,22.5,7.2,-10.4,-3.5,7.2,-1.7,-6.1,2.5,14.9,2.7,168,138,216,274,3.7,14.8,21.2,4.9,606,124,0,163,10,115,913,153,2167,1431,324,1389,0,2,41,2,2,20,89,37,143,61,1,119,0,139,361,78,0,44,152,0,64,58,54,69
2086,CNRM_RCP45,Regional,51,-116,1500,-3.2,9.9,24.9,9,-11,-2.8,9.2,-0.5,-7.1,3.5,17,4.3,277,115,179,202,1.9,15.2,21.4,-9999,678,116,0,144,7,182,1108,255,2254,1332,187,1250,0,4,98,6,2,28,91,43,248,46,0,80,0,152,389,92,0,82,209,10,67,56,54,68
2087,CNRM_RCP45,Regional,51,-116,1500,-1.8,8.5,22.5,9.4,-9.2,-3.2,7.7,-1.1,-5.5,2.6,15.1,4.1,203,146,225,112,-9999,14.7,20.7,6.9,559,157,0,115,14,137,931,195,2114,1419,300,1262,0,2,37,2,5,29,90,40,133,43,1,20,0,138,358,88,0,22,132,12,69,59,56,64
2088,CNRM_RCP45,Regional,51,-116,1500,-2.7,9,22.1,7.9,-10.4,-2.8,8.3,-1.3,-6.5,3.1,15.2,3.3,213,155,286,199,2.6,14.7,19.9,5,639,94,0,198,9,126,942,236,2205,1375,292,1334,0,2,36,5,2,23,91,42,178,63,1,71,0,168,347,88,0,41,71,12,68,59,58,68
2089,CNRM_RCP45,Regional,51,-116,1500,-5,10.1,22.7,8.4,-12.9,-1.1,8.2,-0.9,-8.9,4.5,15.4,3.8,260,204,247,192,-9999,14.2,20.6,5.8,834,95,0,126,5,217,961,205,2424,1245,285,1297,0,4,57,3,1,43,90,39,246,37,1,61,0,143,358,86,0,38,128,18,66,62,57,68
2090,CNRM_RCP45,Regional,51,-116,1500,-2.8,11.1,22.9,8.6,-10.2,-1.3,7.9,-1.2,-6.5,4.9,15.4,3.7,396,148,211,177,2.1,14.9,21,5.9,638,69,0,141,11,221,958,211,2204,1211,281,1305,0,4,44,4,3,35,90,38,335,25,1,58,0,187,364,88,0,41,153,16,69,58,55,66
2091,CNRM_RCP45,Regional,51,-116,1500,-1.3,9.1,21.8,7.8,-9.1,-3,7.3,-1.6,-5.2,3,14.5,3.1,274,144,210,222,2.5,14.6,20.7,5.8,541,92,0,162,14,118,870,203,2089,1381,341,1360,0,2,26,4,4,21,90,35,203,54,1,79,0,170,348,86,0,39,138,4,68,58,56,67
2092,CNRM_RCP45,Regional,51,-116,1500,-1.3,12.3,24.3,11.1,-8.8,0.6,8.6,0.2,-5,6.4,16.4,5.6,272,189,210,131,-9999,14.3,21.2,6.4,519,60,0,128,16,330,1054,332,2072,1075,217,1130,0,10,73,9,5,49,91,49,179,22,1,43,0,196,382,105,0,16,172,45,69,61,54,64
2093,CNRM_RCP45,Regional,51,-116,1500,-0.6,10.6,21.7,8.4,-7.8,-1.4,7.6,-1,-4.2,4.6,14.7,3.7,275,152,317,229,2,14.7,20.1,5.5,469,84,0,125,19,214,894,200,2000,1238,328,1305,0,4,31,3,6,37,90,38,185,28,2,56,0,146,344,83,0,21,111,0,70,59,57,67
2094,CNRM_RCP45,Regional,51,-116,1500,-2.8,11.3,23.7,6.9,-10.5,0.1,7.9,-2.9,-6.6,5.7,15.8,2,271,170,177,219,2.4,14.4,21.6,5.1,663,60,0,211,13,266,998,164,2224,1131,254,1457,0,6,58,2,3,46,91,32,231,27,1,89,0,185,376,81,0,30,199,5,68,62,53,65
2095,CNRM_RCP45,Regional,51,-116,1500,-2.7,9.8,23.2,9.6,-10.5,-1.4,7.8,0.1,-6.6,4.2,15.5,4.9,222,225,186,184,3,14.2,21.2,5.5,637,85,0,97,9,183,968,244,2204,1271,273,1197,0,3,51,4,3,38,90,46,184,41,1,40,0,137,368,90,0,11,182,0,67,62,54,68
2096,CNRM_RCP45,Regional,51,-116,1500,-4.6,12,22.9,8.2,-13.1,-0.9,9.1,-1.5,-8.8,5.6,16,3.3,183,130,278,191,3.8,15.3,20.1,5.1,859,60,0,178,11,261,1011,225,2420,1145,245,1336,0,6,63,5,3,39,91,38,135,18,1,80,0,196,354,89,0,67,101,21,64,57,59,67
2097,CNRM_RCP45,Regional,51,-116,1500,-1.8,9.2,21.2,9.1,-9.7,-2.4,8.5,0.1,-5.7,3.4,14.9,4.6,348,183,302,203,1.8,14.5,19.1,5.2,581,137,0,141,12,175,906,259,2136,1348,317,1220,0,3,30,4,3,33,91,50,291,56,2,52,0,146,328,87,0,24,34,0,67,60,61,69
2098,CNRM_RCP45,Regional,51,-116,1500,-3.8,10.7,22.3,9.7,-11.3,-1.1,7.6,0,-7.6,4.8,15,4.9,301,162,236,210,-9999,14.7,20.7,5.5,721,75,0,126,8,222,920,287,2302,1215,310,1203,0,4,33,9,2,38,90,44,276,32,1,75,0,183,352,95,0,29,118,4,68,60,56,67
2099,CNRM_RCP45,Regional,51,-116,1500,-1.6,8,22.4,11.1,-8.7,-3.1,7.8,1.1,-5.2,2.5,15.1,6.1,385,170,220,135,2.4,14.2,20.6,6.2,530,169,0,74,13,140,937,309,2080,1434,294,1079,0,2,42,5,4,30,90,54,304,66,1,24,0,136,355,97,0,32,135,28,70,61,56,67
2100,CNRM_RCP45,Regional,51,-116,1500,-2.1,10.1,21.7,7.4,-9.3,-0.6,7.2,-1.7,-5.7,4.8,14.4,2.9,206,240,209,226,2.1,13.8,20.7,-9999,586,90,0,120,14,227,872,137,2138,1223,348,1379,0,4,31,2,4,44,89,32,166,32,1,69,0,139,348,79,0,0,139,0,70,63,56,68
2011,CNRM_RCP85,Regional,51,-116,1500,-4.3,8.4,20.7,8.1,-12.8,-3.6,5.9,-2.2,-8.5,2.4,13.3,2.9,190,138,236,174,3.1,14.8,20.5,5.6,806,122,0,232,6,111,770,244,2387,1435,434,1369,0,2,15,5,1,21,87,41,172,57,3,50,0,134,339,92,0,28,106,0,64,58,55,64
2012,CNRM_RCP85,Regional,51,-116,1500,-3,7.5,20.8,7.6,-11.1,-4.4,6.1,-1.9,-7.1,1.5,13.4,2.9,241,167,226,164,2.6,14.5,20.6,5.3,679,178,0,118,7,97,780,121,2250,1520,429,1378,0,1,18,1,2,20,87,31,211,68,3,49,0,129,338,78,0,0,112,0,66,58,56,67
2013,CNRM_RCP85,Regional,51,-116,1500,-6.1,8.8,18.7,9.5,-13.6,-3.3,4.8,-1.2,-9.9,2.8,11.8,4.1,342,141,242,110,1.6,14.9,20.1,6.8,928,85,1,133,5,98,627,229,2509,1404,575,1264,0,1,9,4,1,18,82,39,319,53,6,39,0,165,311,93,0,23,81,41,67,58,57,64
2014,CNRM_RCP85,Regional,51,-116,1500,-2.6,9.4,19.8,7.4,-10.3,-2.3,5.9,-2.9,-6.4,3.5,12.8,2.3,263,144,263,161,1.7,14.6,20.1,6.3,633,98,0,211,10,158,725,166,2198,1333,479,1433,0,3,12,2,2,29,87,33,223,46,3,52,0,143,322,85,0,43,68,15,68,60,57,64
2015,CNRM_RCP85,Regional,51,-116,1500,-6.5,5.2,20.8,6.4,-14.9,-5.6,6.4,-4.2,-10.7,-0.2,13.6,1.1,305,205,235,224,2.2,14,20.3,5.9,990,295,0,290,3,80,796,198,2587,1681,423,1545,0,1,24,4,1,20,86,28,296,85,2,154,0,122,336,67,0,0,101,47,64,60,56,62
2016,CNRM_RCP85,Regional,51,-116,1500,-6.5,8,22,8.9,-14.8,-3.6,6.5,-1.1,-10.6,2.2,14.2,3.9,229,142,182,170,2.6,14.5,21.2,5.8,970,139,0,147,3,102,852,220,2575,1460,371,1285,0,2,31,4,1,22,88,39,223,56,2,67,0,131,357,91,0,43,174,13,64,59,54,66
2017,CNRM_RCP85,Regional,51,-116,1500,-2.9,10.4,22.8,6.5,-10.8,-1.9,7.8,-3.1,-6.8,4.2,15.3,1.7,183,112,212,199,2.7,14.9,20.4,5.4,675,94,0,238,11,214,952,170,2239,1262,284,1484,0,5,38,3,2,32,91,33,154,40,1,97,0,154,361,82,0,78,149,15,67,58,55,66
2018,CNRM_RCP85,Regional,51,-116,1500,-3.6,7.3,21.3,8.4,-11.2,-4.5,6.5,-2.1,-7.4,1.4,13.9,3.2,234,155,197,163,2.2,14.8,20.7,5.7,704,207,0,172,8,109,824,182,2289,1532,396,1350,0,2,26,2,2,23,89,36,210,59,2,47,0,133,343,86,0,25,146,0,68,58,56,64
2019,CNRM_RCP85,Regional,51,-116,1500,-5,8.8,21,9.7,-12.8,-2.5,6.7,-1.6,-8.9,3.2,13.8,4.1,300,124,230,125,-9999,14.5,20.2,7.1,827,122,0,150,5,151,819,222,2418,1369,398,1268,0,3,24,3,1,29,88,38,284,44,2,48,0,142,338,95,0,53,108,32,67,61,57,62
2020,CNRM_RCP85,Regional,51,-116,1500,-5.9,10.5,21.6,6.8,-13.7,-3,6.5,-3.2,-9.8,3.8,14,1.8,224,114,231,203,2.3,15.4,20.6,5.7,912,146,0,219,4,217,835,164,2501,1312,373,1478,0,5,21,3,1,33,89,28,216,26,2,119,0,159,350,84,0,66,119,42,66,54,55,65
2021,CNRM_RCP85,Regional,51,-116,1500,-6.2,8.1,19.9,7.7,-14.6,-3.1,5.9,-3.3,-10.4,2.5,12.9,2.2,186,158,254,120,3,14.4,20,6.9,942,189,0,191,3,160,731,135,2545,1434,473,1436,0,3,12,1,1,31,87,28,179,57,3,28,0,139,324,84,0,29,69,17,64,60,57,61
2022,CNRM_RCP85,Regional,51,-116,1500,-8.9,8.2,21,8.1,-17.8,-4,7.5,-1.2,-13.3,2.1,14.2,3.4,317,189,338,203,-9999,14.2,19.1,5.5,1232,196,0,152,4,157,849,193,2827,1467,368,1325,0,3,24,3,1,27,90,40,308,66,3,49,0,139,333,83,0,0,13,0,61,57,59,68
2023,CNRM_RCP85,Regional,51,-116,1500,-5.2,8.3,21.4,7.1,-13,-2.7,6.2,-2.2,-9.1,2.8,13.8,2.5,267,186,201,188,2.1,14.5,20.7,6.2,842,113,0,173,4,126,814,154,2432,1405,394,1414,0,2,20,2,1,25,88,33,254,85,2,57,0,135,350,79,0,25,149,0,66,62,54,67
2024,CNRM_RCP85,Regional,51,-116,1500,-3.2,10.4,21.5,7.1,-10.9,-2.2,6.4,-2.5,-7.1,4.1,13.9,2.3,244,137,189,200,-9999,14.9,20.9,5.6,680,83,0,191,9,174,823,155,2259,1282,389,1427,0,3,20,2,2,29,88,33,216,34,2,53,0,150,349,80,0,46,160,0,68,57,55,66
2025,CNRM_RCP85,Regional,51,-116,1500,-2,10.8,20,6.2,-8.9,-1.4,5.9,-2.3,-5.4,4.7,12.9,1.9,318,127,219,230,-9999,15,19.9,4.7,569,79,0,190,18,219,731,135,2114,1227,473,1464,0,4,13,2,5,37,87,32,234,27,3,82,0,151,327,75,0,53,108,0,72,59,57,70
2026,CNRM_RCP85,Regional,51,-116,1500,-4.1,7.5,21.5,5.2,-12,-4,6.1,-4.3,-8.1,1.8,13.8,0.5,303,155,186,182,-9999,14.7,20.8,5.3,752,137,0,267,5,87,815,116,2338,1497,398,1599,0,1,21,1,1,18,88,25,279,74,2,96,0,127,352,75,0,10,166,0,67,59,54,65
2027,CNRM_RCP85,Regional,51,-116,1500,-7.4,9.3,21.7,8.8,-15.2,-2.5,6.7,-1.7,-11.3,3.4,14.2,3.6,266,140,200,201,2.1,15,20.8,6.3,1027,100,0,177,2,147,845,226,2631,1345,368,1313,0,2,22,4,0,30,89,38,261,38,2,100,0,136,350,94,0,22,150,20,66,59,55,64
2028,CNRM_RCP85,Regional,51,-116,1500,-3.9,8.5,21.3,8.7,-11.5,-3.8,6.7,-1.8,-7.7,2.3,14,3.5,280,124,245,166,1.9,15.3,20.3,6.2,744,132,0,182,9,120,838,233,2319,1442,394,1321,0,2,33,5,2,21,86,39,241,64,3,47,0,137,343,92,0,50,98,30,68,57,56,64
2029,CNRM_RCP85,Regional,51,-116,1500,-6.1,10.9,22.9,8.1,-15.1,-0.6,8.1,-2.1,-10.6,5.1,15.5,3,265,192,290,152,3,14.2,20.8,6.2,961,76,0,151,3,256,971,190,2566,1188,290,1373,0,6,65,3,1,39,90,31,257,27,2,61,0,180,361,87,0,17,165,21,62,61,56,65
2030,CNRM_RCP85,Regional,51,-116,1500,-4.9,9.1,20.9,6.8,-13.3,-2.5,7.1,-3.2,-9.1,3.3,14,1.8,232,201,286,147,2.6,14.1,19.9,5.9,854,155,0,204,6,208,828,150,2444,1350,378,1475,0,5,21,2,1,33,90,27,214,50,2,70,0,144,332,82,0,7,56,15,64,59,58,64
2031,CNRM_RCP85,Regional,51,-116,1500,-6.5,10.6,21.7,10.8,-13.7,-1.3,7,-1.2,-10.1,4.6,14.4,4.8,311,133,216,80,-9999,15,20.7,8.1,946,58,0,129,5,185,861,280,2531,1232,353,1205,0,3,24,7,1,34,90,41,298,25,1,11,0,179,348,100,0,48,131,33,69,60,56,60
2032,CNRM_RCP85,Regional,51,-116,1500,-6.3,9.3,22,6.4,-14,-2.3,7.7,-2.5,-10.1,3.5,14.8,2,241,182,245,245,1.9,14.5,19.8,4.8,917,120,0,198,3,182,909,150,2525,1336,323,1462,0,4,36,2,1,32,90,31,233,50,1,112,0,144,348,77,0,1,103,0,67,60,57,68
2033,CNRM_RCP85,Regional,51,-116,1500,-2.1,9.6,21.4,7.5,-9.3,-2,6.4,-1.7,-5.7,3.8,13.9,2.9,342,139,193,225,-9999,14.7,20.8,4.9,564,104,0,149,12,183,825,152,2119,1313,387,1377,0,3,21,2,5,30,88,34,246,60,1,73,0,151,346,81,0,68,153,0,70,60,55,68
